Category;Title;Ingredients
entree;Oeuf cocotte au bacon;sel, poivre, beurre, gruyère râpé, crème fraîche, oeuf, bacon
entree;Soupe de courgettes à la Vache qui rit® au Thermomix;poivre, courgette, Vache qui rit®, ail, bouillon de volaille
entree;Pain de thon au gruyère;sel, poivre, beurre, levure chimique, huile, farine, gruyère râpé, thon, oeuf, lait
entree;Crêpes natures pour garniture salée ou sucrée;huile, farine, lait, oeuf
entree;Harira de Mamie (soupe marocaine);Ras el Hanout, cumin, poivre, gingembre, sel, colorant alimentaire, huile d'olive, oignon, coriandre, lentilles, tomates pelées, céleri, boeuf, viande, double concentré de tomates, paprika, carvi, semoule
entree;épinards et oeufs durs à la béchamel;muscade, beurre, farine, épinards, lait, oeuf, gruyère
entree;Flan aux légumes;sel, poivre, maïzena, comté, oignon, courgette, tomate, oeuf, crème liquide
entree;Pâté aux pommes de terre (Bourbonnais);sel, poivre, oignon, pâte feuilletée, pomme de terre, crème fraîche épaisse
entree;Carpaccio de boeuf;huile d'olive, boeuf, ciboulette, citron, parmesan râpé, baies roses, graines de coriandre, oignon nouveau
entree;Cassolette de ravioles;crème fraîche, beurre, raviole, Parmesan
entree;Soupe aux 7 légumes au Cookeo;beurre, crème fraîche, oignon, courgette, tomate, poireau, carotte, navet, pomme de terre, céleri, bouillon
entree;Bricks au fromage et viande hachée;huile, poivre, sel, oignon, persil, viande hachée, fromage frais, brick
entree;Gaspacho (Andalousie);sel, poivre, huile d'olive, vinaigre de xérès, oignon, poivron vert, poivron rouge, tomate, concombre, ail, oignon nouveau, pain de mie, oeuf, basilic frais
entree;Terrine de campagne maison;sel, poivre, cognac, oignon, veau, chair à saucisse, foie, foie, barde de lard, échalote, bouquet garni, gelée, crépine, genièvre
entree;Velouté d'asperges fraîches;poivre, sel, farine, beurre, asperge, eau, fond de volaille, jaune d'oeuf, crème liquide
entree;Soupe de vermicelles ultra rapide;beurre, cube de bouillon, vermicelles, oignon
entree;Potage velouté poireaux pommes de terre;beurre, sel, poivre, crème fraîche, poireau, pomme de terre, lait, eau, basilic
entree;Velouté de mâche;sel, poivre, beurre, mâche, pomme de terre, cube de bouillon
entree;Soupe d'orties;beurre, ortie, eau, crème
entree;Nems de poulet;champignon noir, carotte, galette de riz, escalope de poulet, germes de soja, vermicelles de soja, menthe
entree;Soupe Miso;carotte, gingembre, huile de tournesol, ail, champignon, miso, eau
entree;Soupe de champignons;persil, muscade, sel, poivre, oignon, champignons de Paris, pomme de terre, ail, kub or, crème liquide
entree;Soupe de lentilles vertes au lard;huile d'olive, sel, oignon, carotte, blanc de poireau, échalote, lentilles vertes, bouillon, eau
entree;Pâté de campagne de Mémé Marie;sel, farine, porc, foie, oeuf, herbes, échalote
entree;Avocado toast;poivre, sel, piment d'Espelette, huile d'olive, avocat, pain aux céréales, ail, citron
entree;La garbure;clou de girofle, sel, poivre, carotte, oignon, pomme de terre, jambon, canard, chou, navet, haricot tarbais, ail
entree;Velouté de champignons au Thermomix;poivre, persil, farine, crème fraîche, beurre, oignon, champignons de Paris, lait, jus de citron, bouillon de légumes
entree;Potage poireaux-carottes-pommes de terre;poivre, beurre, oignon, carotte, poireau, pomme de terre, eau, lait, cube de bouillon
entree;Soupe de carottes express;persil, cumin en poudre, huile d'olive, oignon, carotte, pomme de terre, bouillon de volaille
entree;Gratin de ravioles au parmesan de Liza;sel, poivre, muscade, beurre, crème fraîche, raviole, lait, Parmesan
entree;Velouté de brocolis;sel, poivre, oignon, brocoli, bouillon de volaille, bouquet garni, crème
entree;Artichaut vinaigrette;artichaut, jus de citron, gros sel, moutarde, vinaigre de cidre, huile de pépin de raisin, huile de colza, estragon, sel, poivre
